,customer_id,Cluster
19469,3213,Extended Household
19471,35476,Extended Household
19477,38686,Extended Household
19483,29469,Extended Household
19489,31092,Extended Household
2653,530,Extended Household
19491,15215,Extended Household
19464,30130,Extended Household
2669,38208,Extended Household
19405,13894,Extended Household
19394,16915,Extended Household
19313,30025,Extended Household
2687,22343,Extended Household
2686,9198,Extended Household
19315,9070,Extended Household
19322,16560,Extended Household
19329,34256,Extended Household
19332,16252,Extended Household
19334,19287,Extended Household
2680,32209,Extended Household
2679,30722,Extended Household
19356,5635,Extended Household
19358,39465,Extended Household
19364,39348,Extended Household
19367,33988,Extended Household
2674,23935,Extended Household
2673,32654,Extended Household
2672,9654,Extended Household
18175,36170,Extended Household
18167,11920,Extended Household
18153,20630,Extended Household
18149,39301,Extended Household
3110,19984,Extended Household
3109,10153,Extended Household
16793,18211,Extended Household
3107,5742,Extended Household
16804,27613,Extended Household
16805,23963,Extended Household
16812,1869,Extended Household
3111,9158,Extended Household
16814,293,Extended Household
16835,29931,Extended Household
16838,34393,Extended Household
16839,24715,Extended Household
3098,29366,Extended Household
16847,20119,Extended Household
16849,7040,Extended Household
16856,7142,Extended Household
16826,21990,Extended Household
16858,21563,Extended Household
16790,8575,Extended Household
16781,38369,Extended Household
16677,32611,Extended Household
16679,20746,Extended Household
16685,2055,Extended Household
16695,31893,Extended Household
16699,31910,Extended Household
16712,23923,Extended Household
16723,34173,Extended Household
16786,5636,Extended Household
16737,4719,Extended Household
16747,21276,Extended Household
16749,20063,Extended Household
3119,22698,Extended Household
16760,37979,Extended Household
16765,21280,Extended Household
16776,35229,Extended Household
16778,27156,Extended Household
16738,13792,Extended Household
16661,36402,Extended Household
16867,9593,Extended Household
3091,16880,Extended Household
17015,23042,Extended Household
17020,23026,Extended Household
17024,20501,Extended Household
17037,24846,Extended Household
17042,32456,Extended Household
3064,1193,Extended Household
17045,27348,Extended Household
17013,2173,Extended Household
17046,36672,Extended Household
17052,31777,Extended Household
17067,26722,Extended Household
17088,21473,Extended Household
17097,28362,Extended Household
3056,12291,Extended Household
17122,7859,Extended Household
17123,10655,Extended Household
17047,14937,Extended Household
16869,1094,Extended Household
17009,17261,Extended Household
16999,1290,Extended Household
16876,10050,Extended Household
16891,18796,Extended Household
16894,10231,Extended Household
16905,17601,Extended Household
16907,3749,Extended Household
16910,19055,Extended Household
16917,37741,Extended Household
17008,26083,Extended Household
3083,24761,Extended Household
16940,13139,Extended Household
16954,28586,Extended Household
16957,39312,Extended Household
3078,12445,Extended Household
16969,38776,Extended Household
16997,15476,Extended Household
3075,13652,Extended Household
16918,8059,Extended Household
16660,13784,Extended Household
16654,9033,Extended Household
16652,26437,Extended Household
3191,677,Extended Household
16296,11747,Extended Household
16300,6322,Extended Household
16302,2524,Extended Household
16325,35153,Extended Household
16328,38441,Extended Household
16329,20337,Extended Household
16292,19874,Extended Household
16339,28331,Extended Household
16341,29128,Extended Household
16344,15544,Extended Household
16345,27276,Extended Household
16346,7341,Extended Household
16348,2817,Extended Household
16355,3768,Extended Household
3176,8429,Extended Household
16340,35748,Extended Household
16367,19555,Extended Household
3193,39680,Extended Household
16289,8223,Extended Household
16200,1005,Extended Household
16203,5550,Extended Household
16212,11861,Extended Household
16225,37107,Extended Household
16234,3799,Extended Household
16240,22089,Extended Household
3205,23309,Extended Household
16291,14375,Extended Household
16242,26315,Extended Household
16260,16495,Extended Household
16271,5358,Extended Household
3200,14479,Extended Household
16275,34715,Extended Household
3198,11979,Extended Household
16277,33229,Extended Household
16282,5796,Extended Household
16256,20394,Extended Household
16372,22093,Extended Household
16373,3369,Extended Household
16376,32080,Extended Household
16559,4314,Extended Household
16563,11287,Extended Household
16567,35571,Extended Household
16571,12417,Extended Household
16573,26957,Extended Household
16593,34673,Extended Household
16598,17593,Extended Household
16550,32372,Extended Household
16603,2448,Extended Household
16607,24777,Extended Household
16616,34735,Extended Household
16619,32055,Extended Household
16633,7326,Extended Household
16637,11017,Extended Household
16644,21163,Extended Household
16651,500,Extended Household
16605,8922,Extended Household
16549,10235,Extended Household
16548,35274,Extended Household
16547,33325,Extended Household
16379,7771,Extended Household
16386,2895,Extended Household
3169,38841,Extended Household
16391,5776,Extended Household
16392,2333,Extended Household
16398,16132,Extended Household
16410,4663,Extended Household
16428,2873,Extended Household
16429,2151,Extended Household
16439,29158,Extended Household
16448,17631,Extended Household
16489,34369,Extended Household
16511,8465,Extended Household
16512,11772,Extended Household
16519,3940,Extended Household
16526,5258,Extended Household
16542,20012,Extended Household
17125,23393,Extended Household
12630,21516,Extended Household
17130,9415,Extended Household
17150,24502,Extended Household
17792,14032,Extended Household
17796,12555,Extended Household
17805,28939,Extended Household
17806,31263,Extended Household
17811,39851,Extended Household
17817,34463,Extended Household
17822,23737,Extended Household
17790,36240,Extended Household
17829,4349,Extended Household
17837,12050,Extended Household
17867,26924,Extended Household
17869,5596,Extended Household
17875,32411,Extended Household
17886,34048,Extended Household
17902,12974,Extended Household
2933,36541,Extended Household
17832,2691,Extended Household
17911,31959,Extended Household
17785,20059,Extended Household
17781,29576,Extended Household
17670,34693,Extended Household
17679,37505,Extended Household
17700,11511,Extended Household
17705,8511,Extended Household
17719,24166,Extended Household
17724,25411,Extended Household
17725,9983,Extended Household
17783,13904,Extended Household
2961,34695,Extended Household
17737,35997,Extended Household
17738,1587,Extended Household
17742,491,Extended Household
17756,34343,Extended Household
17772,20170,Extended Household
17773,21481,Extended Household
17779,2450,Extended Household
17731,31900,Extended Household
17664,30084,Extended Household
